From	To
A0A7R8C355	IF1AA4
A0A7P0T8U6	NOTCH1
A0A7R8C397	IF1AA6
A0A7T8ISH0	GYPC
A0A7U3L6D0	FGF4B
A0A7P0Z4A4	VRK1
A0A7P0Z3Z7	VRK1
A0A7P0T9E5	VRK1
A0A7P0T8N8	TCERG1
A0A7P0T9I3	MBNL2
A0A7P0Z4L6	LOC100133315
A0A7P0T907	PAX8
A0A7P0TBQ3	CGAS
A0A7P0TBA9	EIF2AK2
A0A7R8GUW6	IF1BA1
A0A7R8GUQ6	IF1AA1
P62258	YWHAE
Q04917	YWHAH
P61981	YWHAG
P04818	TYMS
Q6NUM6	TYW1B
Q9NV66	TYW1
Q53H54	TRMT12
Q6IPR3	TYW3
O60294	LCMT2
A2RUC4	TYW5
P25490	YY1
O15391	YY2
P10074	ZBTB48
Q13432	UNC119
A6NIH7	UNC119B
Q7RTZ2	USP17L1
Q6R6M4	USP17L2
A6NCW0	USP17L3
A6NCW7	USP17L4
A8MUK1	USP17L5
Q6QN14	USP17L6P
P0C7H9	USP17L7
C9JJH3	USP17L10
C9JVI0	USP17L11
C9JLJ4	USP17L13
P0C7I0	USP17L8
C9J2P7	USP17L15
D6RBQ6	USP17L17
D6R9N7	USP17L18
D6RCP7	USP17L19
D6RJB6	USP17L20
D6RBM5	USP17L23
D6R901	USP17L21
D6RA61	USP17L22
Q0WX57	USP17L24
Q0WX57	USP17L25
Q0WX57	USP17L26
Q0WX57	USP17L27
Q0WX57	USP17L28
Q0WX57	USP17L29
Q0WX57	USP17L30
Q16560	SNRNP35
Q01081	U2AF1
P26368	U2AF2
Q8WU68	U2AF1L4
Q15695	ZRSR2P1
Q15696	ZRSR2
Q8IWF7	UBE2DNL
A1L167	UBE2QL1
O43818	RRP9
O75643	SNRNP200
Q15029	EFTUD2
Q9BZF9	UACA
Q3KQV9	UAP1L1
Q16222	UAP1
P51965	UBE2E1
Q96LR5	UBE2E2
Q969T4	UBE2E3
Q8N2K1	UBE2J2
Q9Y385	UBE2J1
Q7Z7E8	UBE2Q1
Q8WVN8	UBE2Q2
Q712K3	UBE2R2
Q13404	UBE2V1
Q15819	UBE2V2
F5GYI3	UBAP1L
Q8TBC4	UBA3
Q9GZZ9	UBA5
A0AVT1	UBA6
P41226	UBA7
Q9BSL1	UBAC1
Q8NBM4	UBAC2
Q8TB05	UBALD1
Q8IYN6	UBALD2
Q9NZ09	UBAP1
Q5T6F2	UBAP2
P61081	UBE2M
Q8WVY7	UBLCP1
O00762	UBE2C
Q969M7	UBE2F
P62256	UBE2H
Q9C0C9	UBE2O
Q16763	UBE2S
Q9NPD8	UBE2T
Q5VVX9	UBE2U
Q05086	UBE3A
Q7Z3V4	UBE3B
Q7Z6J8	UBE3D
Q15386	UBE3C
Q14139	UBE4A
O95155	UBE4B
O14562	UBFD1
P17480	UBTF
P0CB47	UBTFL1
P0CB48	UBTFL6
Q9Y5Z9	UBIAD1
Q9NZI7	UBP1
P11441	UBL4A
Q8N7F7	UBL4B
Q96S82	UBL7
Q9NPG3	UBN1
Q6ZU65	UBN2
Q14694	USP10
P51784	USP11
O75317	USP12
Q92995	USP13
P54578	USP14
Q9Y4E8	USP15
Q9Y5T5	USP16
Q9UMW8	USP18
O94966	USP19
O94782	USP1
Q9Y2K6	USP20
Q9UK80	USP21
Q9UPT9	USP22
Q9UHP3	USP25
Q9BXU7	USP26
A6NNY8	USP27X
Q9UPU5	USP24
Q96RU2	USP28
Q9HBJ7	USP29
Q14157	UBAP2L
O75604	USP2
Q70CQ3	USP30
Q70CQ4	USP31
Q8NFA0	USP32
Q8TEY7	USP33
Q9P2H5	USP35
Q70CQ2	USP34
Q9P275	USP36
Q8NB14	USP38
Q86T82	USP37
Q9Y6I4	USP3
Q3LFD5	USP41
Q9H9J4	USP42
Q9NVE5	USP40
Q9H0E7	USP44
Q70EL4	USP43
P62068	USP46
Q70EL2	USP45
Q96K76	USP47
Q86UV5	USP48
Q70CQ1	USP49
Q13107	USP4
Q70EL3	USP50
Q70EK9	USP51
Q70EK8	USP53
Q70EL1	USP54
P45974	USP5
P35125	USP6
Q93009	USP7
P40818	USP8
Q9UMX0	UBQLN1
Q9UHD9	UBQLN2
Q9H347	UBQLN3
Q9NRR5	UBQLN4
Q8IYU4	UBQLNL
Q8IWV7	UBR1
Q8IWV8	UBR2
Q6ZT12	UBR3
O95071	UBR5
Q8N806	UBR7
Q8TF42	UBASH3B
P57075	UBASH3A
Q9HAC8	UBTD1
Q8WUN7	UBTD2
Q96LJ8	UBXN10
Q5T124	UBXN11
P68543	UBXN2A
Q14CS0	UBXN2B
Q04323	UBXN1
Q92575	UBXN4
Q9BZV1	UBXN6
O94888	UBXN7
O00124	UBXN8
Q9Y5K5	UCHL5
Q9HA47	UCK1
Q9BZX2	UCK2
Q9NWZ5	UCKL1
Q8WVF2	UCMA
P55089	UCN
Q96RP3	UCN2
Q969E3	UCN3
P25874	UCP1
P55851	UCP2
P55916	UCP3
O95847	SLC25A27
O95258	SLC25A14
P0C7P4	UQCRFS1P1
P47985	UQCRFS1
Q9HAW8	UGT1A10
P22309	UGT1A1
P35503	UGT1A3
P35504	UGT1A5
P19224	UGT1A6
Q9HAW7	UGT1A7
P22310	UGT1A4
O60656	UGT1A9
Q9HAW9	UGT1A8
P0DTE4	UGT2A1
P0DTE5	UGT2A2
Q6UWM9	UGT2A3
P06133	UGT2B4
P16662	UGT2B7
Q3SY77	UGT3A2
Q6NUS8	UGT3A1
O75310	UGT2B11
P36537	UGT2B10
P54855	UGT2B15
O75795	UGT2B17
Q9BY64	UGT2B28
Q8IX04	UEVLD
Q92890	UFD1
O94874	UFL1
Q6NVU6	UFSP1
Q9NUQ7	UFSP2
P30530	AXL
Q9NYU1	UGGT2
Q9NYU2	UGGT1
Q16851	UGP2
Q8TAS1	UHMK1
A0JNW5	BLTP3B
Q96T88	UHRF1
Q96PU4	UHRF2
Q96QD9	FYTTD1
Q96RL1	UIMC1
C9JPN9	USP17L12
Q9BZM6	ULBP1
Q9BZM5	ULBP2
Q9BZM4	ULBP3
Q5VY80	RAET1L
Q6H3X3	RAET1G
Q6PHR2	ULK3
Q8IYT8	ULK2
O75385	ULK1
Q96C45	ULK4
C9J7I0	UMAD1
Q8N2C9	UMODL1-AS1
O14795	UNC13B
Q9UPW8	UNC13A
Q70J99	UNC13D
Q8NB66	UNC13C
Q9H3U1	UNC45A
Q8IV45	UNC5CL
Q86WB7	UNC93A
A6NJT0	UNCX
Q53HI1	UNC50
Q6ZN44	UNC5A
Q8IZJ1	UNC5B
O95185	UNC5C
Q6UXZ4	UNC5D
Q9P2D8	UNC79
Q8N2C7	UNC80
Q9UKL3	CASP8AP2
A0A1B0GU71	CFAP97D2
Q8TCZ2	CD99L2
Q9H246	C1orf21
Q9BWL3	C1orf43
Q9BV19	C1orf50
Q8N6N3	C1orf52
Q5VUE5	C1orf53
Q8WWF1	C1orf54
Q96LT6	C1orf74
Q5SVJ3	C1orf100
Q8N0U7	C1orf87
Q6P1W5	C1orf94
O95561	C1orf105
Q9H7X2	C1orf115
Q9NSG2	C1orf112
Q6ZSJ8	C1orf122
Q8N9H9	C1orf127
Q8NDD1	C1orf131
Q5VVS0	C1orf140
Q5JVX7	C1orf141
Q96MC9	C1orf147
Q3SY05	LINC00303
Q8N1D5	CFAP107
Q8NEQ5	C1orf162
Q96HA4	C1orf159
Q8IYL3	C1orf174
Q8NAE3	LINC01555
Q5T7R7	C1orf185
Q5VU69	CFAP141
Q5SNV9	C1orf167
Q5T5A4	CFAP276
Q9H425	C1orf198
Q8IVY1	C1orf210
Q5SR53	PIK3CD-AS1
Q8NC38	ZNF436-AS1
Q8TAB5	C1orf216
Q5T0J3	C1orf220
A0A0U1RR37	C1orf232
A1L170	C1orf226
P54289	CACNA2D1
Q8IZS8	CACNA2D3
Q9NY47	CACNA2D2
Q7Z3S7	CACNA2D4
Q8WTZ4	CA5BP1
Q8N1I8	CACTIN-AS1
Q9H8G2	CAAP1
Q9Y376	CAB39
Q9H9P5	UNKL
Q9C0B0	UNK
Q03405	PLAUR
O00322	UPK1A
O00526	UPK2
O75631	UPK3A
Q9BT76	UPK3B
B0FP48	UPK3BL1
E5RIL1	UPK3BL2
O95045	UPP2
Q96BW1	UPRT
Q9NVA1	UQCC1
Q9BRT2	UQCC2
Q6UW78	UQCC3
Q9UKP6	UTS2R
Q96HZ7	URB1-AS1
Q14146	URB2
Q8TCY9	URGCP
Q6BDS2	BLTP3A
P00749	PLAU
Q5DID0	UMODL1
P07911	UMOD
Q86UX7	FERMT3
Q92738	USP6NL
Q9BQ65	USB1
Q9NZ43	USE1
Q8N6Y0	USHBP1
P22415	USF1
Q15853	USF2
Q9Y6N9	USH1C
Q495M9	USH1G
Q68DE3	USF3
O60763	USO1
Q93008	USP9X
O00507	USP9Y
Q5W0Q7	USPL1
Q9Y2C2	UST
Q9BVJ6	UTP14A
Q13336	SLC14A1
Q5TAP6	UTP14C
P11684	SCGB1A1
Q15849	SLC14A2
Q5T230	UTF1
Q9Y3A2	UTP11
Q8TED0	UTP15
Q9BRU9	UTP23
Q765I0	UTS2B
O95399	UTS2
P46939	UTRN
O14607	UTY
Q9P2Y5	UVRAG
Q9BRK5	SDF4
Q8TDN4	CABLES1
Q9BTV7	CABLES2
Q9NZU7	CABP1
Q9NPB3	CABP2
P57796	CABP4
Q86V35	CABP7
Q9Y6J0	CABIN1
Q9BXU9	CALN1
Q96KC9	CABS1
O75952	CABYR
O00555	CACNA1A
Q00975	CACNA1B
Q13936	CACNA1C
Q01668	CACNA1D
O60840	CACNA1F
Q15878	CACNA1E
O95180	CACNA1H
O43497	CACNA1G
Q13698	CACNA1S
Q08289	CACNB2
O00305	CACNB4
Q86Y37	CACUL1
Q9P1Z2	CALCOCO1
Q13137	CALCOCO2
P43155	CRAT
Q9Y6N8	CDH10
P55287	CDH11
P55289	CDH12
P55290	CDH13
O75309	CDH16
P55291	CDH15
Q12864	CDH17
Q13634	CDH18
Q9H159	CDH19
Q9HBT6	CDH20
Q9UJ99	CDH22
Q86UP0	CDH24
Q8IXH8	CDH26
P12830	CDH1
P19022	CDH2
P22223	CDH3
P55283	CDH4
P33151	CDH5
P55285	CDH6
Q9ULB5	CDH7
P55286	CDH8
Q9ULB4	CDH9
Q9BY67	CADM1
Q8N3J6	CADM2
Q8N126	CADM3
Q8NFZ8	CADM4
Q5T440	IBA57
Q13111	CHAF1A
Q13112	CHAF1B
Q8TC20	CAGE1
Q9NS85	CA10
O75493	CA11
O43570	CA12
Q9ULX7	CA14
P00915	CA1
Q2YD98	UVSSA
Q8NBZ7	UXS1
Q9UBK9	UXT
P37288	AVPR1A
P47901	AVPR1B
P30518	AVPR2
O15342	ATP6V0E1
Q8NHE4	ATP6V0E2
Q08AM6	VAC14
Q16572	SLC18A3
A0A1B0GUX0	ATP6V1FNB
P23763	VAMP1
P63027	VAMP2
Q15836	VAMP3
O75379	VAMP4
O95183	VAMP5
P51809	VAMP7
Q9BV40	VAMP8
Q9ULK5	VANGL2
Q8TAA9	VANGL1
Q9P0L0	VAPA
O95292	VAPB
Q52LC2	ATP6AP1L
Q15904	ATP6AP1
Q7L8A9	VASH1
Q86V25	VASH2
Q6EMK4	VASN
Q9HCJ6	VAT1L
Q99536	VAT1
P50552	VASP
P15313	ATP6V1B1
P21283	ATP6V1C1
Q8NEY4	ATP6V1C2
P36543	ATP6V1E1
Q96A05	ATP6V1E2
Q16864	ATP6V1F
O75348	ATP6V1G1
O95670	ATP6V1G2
Q96LB4	ATP6V1G3
P52735	VAV2
Q9UKW4	VAV3
P15498	VAV1
Q5SQQ9	VAX1
Q9UIW0	VAX2
P19320	VCAM1
Q96JH7	VCPIP1
Q9H320	VCX
Q9H322	VCX2
Q9H321	VCX3B
Q9NNX9	VCX3A
O14599	BPY2
O14599	BPY2B
O14599	BPY2C
O14598	VCY
O14598	VCY1B
P45880	VDAC2
P11473	VDR
P15692	VEGFA
P49765	VEGFB
P49767	VEGFC
O43915	VEGFD
O95231	VENTX
Q8TAG6	VXN
Q9HBM0	VEZT
Q14119	VEZF1
P17948	FLT1
P35968	KDR
P35916	FLT4
O15240	VGF
Q99990	VGLL1
Q8N8G2	VGLL2
A8MV65	VGLL3
Q14135	VGLL4
Q9P2U8	SLC17A6
Q9P2U7	SLC17A7
Q8NDX2	SLC17A8
Q6RSH7	VHLL
Q9H598	SLC32A1
Q00341	HDLBP
P09327	VIL1
O15195	VILL
P08670	VIM
P18206	VCL
O60504	SORBS3
Q6PFW1	PPIP5K1
P32241	VIPR1
O43314	PPIP5K2
P41587	VIPR2
P01282	VIP
P22748	CA4
Q9Y2D0	CA5B
P35218	CA5A
P23280	CA6
Q16790	CA9
Q5VU97	CACHD1
Q8IU99	CALHM1
Q9HA72	CALHM2
Q86XJ0	CALHM3
Q8N5C1	CALHM5
Q5JW98	CALHM4
P22676	CALB2
P06881	CALCA
P10092	CALCB
P30988	CALCR
P01258	CALCA
Q05682	CALD1
Q13939	CCIN
Q96GE6	CALML4
Q8TD86	CALML6
P62760	VSNL1
Q69YN4	VIRMA
Q9H7M9	VSIR
Q6UXI7	VIT
P38435	GGCX
Q9BQB6	VKORC1
Q8N0U8	VKORC1L1
P98155	VLDLR
Q3ZAQ7	VMA21
Q2NL98	VMAC
O00534	VWA5A
Q05940	SLC18A2
P54219	SLC18A1
Q7Z5L0	VMO1
Q96GC9	VMP1
Q8NFZ6	VN1R2
Q9BXE9	VN1R3
Q7Z5H5	VN1R4
Q9GZP7	VN1R1
Q7Z5H4	VN1R5
O95497	VNN1
O95498	VNN2
Q8TDU5	VN1R17P
Q96AW1	VOPP1
P63121	HERVK_113
O75436	VPS26A
Q4G0F5	VPS26B
Q96AX1	VPS33A
Q9H267	VPS33B
Q7Z3J2	VPS35L
Q8NEZ2	VPS37A
Q9H9H4	VPS37B
A5D8V6	VPS37C
Q86XT2	VPS37D
Q9Y2B5	VPS9D1
P63124	HERV-K104
P10265	ERVK-10
P63123	ERVK-18
P63120	ERVK-19
P63119	ERVK-21
P63129	ERVK-24
P63125	ERVK-25
P63131	ERVK-7
Q9Y6I0	ERVK-6
P63122	ERVK-8
P63127	ERVK-9
Q13488	TCIRG1
Q9UKI3	VPREB3
Q9Y487	ATP6V0A2
P12018	VPREB1
Q9H270	VPS11
Q9P253	VPS18
Q9UK41	VPS28
Q86VN1	VPS36
P49754	VPS41
Q9NRW7	VPS45
Q9UN37	VPS4A
O75351	VPS4B
Q96JG6	VPS50
Q9UID3	VPS51
Q8N1B4	VPS52
Q5VIR6	VPS53
Q9P1Q0	VPS54
Q15906	VPS72
Q8N3P4	VPS8
Q99986	VRK1
Q86Y07	VRK2
Q8IV63	VRK3
Q9H8Y1	VRTN
Q86VR7	VSIG10L
Q8N0Z9	VSIG10
Q86XK7	VSIG1
Q96IQ7	VSIG2
Q9Y279	VSIG4
P0DPA2	VSIG8
Q6UX27	VSTM1
Q8IW00	VSTM4
A8MXK1	VSTM5
P58304	VSX2
Q9NZR4	VSX1
P0DP72	VSIG10L2
Q9NP79	VTA1
Q7Z7D3	VTCN1
P02774	GC
Q96AJ9	VTI1A
Q9UEU0	VTI1B
Q8TAG5	VSTM2A
A6NLU5	VSTM2B
Q96N03	VSTM2L
P04004	VTN
Q6PCB0	VWA1
Q5TIE3	VWA5B1
Q8N398	VWA5B2
Q5GFL6	VWA2
A6NCI4	VWA3A
Q502W6	VWA3B
Q9Y334	VWA7
B2RUY7	VWC2L
Q2TAL6	VWC2
Q96DN2	VWCE
A3KMH1	VWA8
Q8N2E2	VWDE
Q641Q2	WASHC2A
Q9Y4E1	WASHC2C
Q9BTA9	WAC
Q7Z5K2	WAPL
Q9Y3C0	WASHC3
Q2M389	WASHC4
Q92558	WASF1
Q9Y6W5	WASF2
Q9UPY6	WASF3
A8K0Z3	WASHC1
Q6VEQ5	WASH2P
C4AMC7	WASH3P
A8MWX3	WASH4P
Q9NQA3	WASH6P
O00401	WASL
P42768	WAS
Q9NX94	WBP1L
Q96G27	WBP1
Q6ICG8	WBP2NL
Q969T9	WBP2
O75554	WBP4
Q9H6R7	WDCP
Q8IWB7	WDFY1
Q96P53	WDFY2
O75717	WDHD1
Q8IZQ1	WDFY3
Q9BZH6	WDR11
Q9H1Z4	WDR13
Q9BV38	WDR18
Q8IZU2	WDR17
Q8TBZ3	WDR20
Q96S15	WDR24
Q64LD2	WDR25
Q9H7D7	WDR26
Q8NA23	WDR31
A2RRH5	WDR27
Q9C0J8	WDR33
Q9P2L0	WDR35
Q9Y2I8	WDR37
Q8NI36	WDR36
Q5JTN6	WDR38
Q9HAD4	WDR41
Q9UNX4	WDR3
Q15061	WDR43
Q5JSH3	WDR44
O15213	WDR46
O94967	WDR47
Q8TAF3	WDR48
Q8IV35	WDR49
P57081	WDR4
Q7Z5U6	WDR53
Q9H6Y2	WDR55
Q6PJI9	WDR59
Q86VZ2	WDR5B
P61964	WDR5
B1ANS9	WDR64
O43379	WDR62
Q9NW82	WDR70
Q9NNW5	WDR6
Q3MJ13	WDR72
Q6RFH5	WDR74
Q8IWA0	WDR75
Q9H967	WDR76
Q9Y4E6	WDR7
Q562E7	WDR81
Q9BRX9	WDR83
Q86TI4	WDR86
Q6ZMY6	WDR88
Q96FK6	WDR89
A4D1P6	WDR91
Q96KV7	WDR90
Q6P2C0	WDR93
A6NE52	WDR97
Q8N5D0	WDTC1
P30291	WEE1
P0C1S8	WEE2
Q9H1F0	WFDC10A
Q8IUB3	WFDC10B
Q8NEX6	WFDC11
Q8WWY7	WFDC12
Q8IUB5	WFDC13
Q9HC57	WFDC1
Q14508	WFDC2
Q8IUB2	WFDC3
Q8TCV5	WFDC5
Q9BQY6	WFDC6
Q8NEX5	WFDC9
Q8IUA0	WFDC8
Q96NZ8	WFIKKN1
Q8TEU8	WFIKKN2
Q1A5X7	WHAMMP3
O76024	WFS1
Q8TF30	WHAMM
Q9P202	WHRN
Q9Y5W5	WIF1
O43516	WIPF1
Q8TF74	WIPF2
A6NGB9	WIPF3
Q5MNZ9	WIPI1
Q9Y4P8	WIPI2
Q06250	WT1-AS
O95785	WIZ
Q9GZT5	WNT10A
O00744	WNT10B
Q9Y3S1	WNK2
Q9H4A3	WNK1
Q9BYP7	WNK3
Q96J92	WNK4
O96014	WNT11
Q9UBV4	WNT16
P04628	WNT1
Q93097	WNT2B
P09544	WNT2
P56703	WNT3
P56705	WNT4
P41221	WNT5A
Q9H1J7	WNT5B
Q9Y6F9	WNT6
O00755	WNT7A
P56706	WNT7B
Q93098	WNT8B
O14904	WNT9A
O14905	WNT9B
Q96L12	CALR3
Q16602	CALCRL
P27797	CALR
O43852	CALU
P27824	CANX
Q9NYX4	CALY
Q8NCB2	CAMKV
P49069	CAMLG
Q5T5Y3	CAMSAP1
Q08AD1	CAMSAP2
Q9P1Y5	CAMSAP3
P49913	CAMP
Q9HC96	CAPN10
Q9UMQ6	CAPN11
Q6ZSI9	CAPN12
Q6MZZ7	CAPN13
A8MX76	CAPN14
O75808	CAPN15
P07384	CAPN1
P20807	CAPN3
Q9Y6W3	CAPN7
O14815	CAPN9
Q96LZ3	PPP3R2
O75155	CAND2
Q8WVQ1	CANT1
Q01518	CAP1
P40123	CAP2
Q96S55	WRNIP1
Q9P2S5	WRAP73
Q14191	WRN
Q9Y6I7	WSB1
Q9NYS7	WSB2
Q658N2	WSCD1
Q2TBF2	WSCD2
P19544	WT1
A6NIX2	WTIP
Q96NR7	WWC2-AS2
Q6AWC2	WWC2
Q9NZC7	WWOX
Q9ULE0	WWC3
Q9H0M0	WWP1
Q9GZV5	WWTR1
O00308	WWP2
P78423	CX3CL1
Q9HD64	XAGE1A
Q9HD64	XAGE1B
Q96GT9	XAGE2
Q6GPH4	XAF1
Q8WTP9	XAGE3
Q8WWM1	XAGE5
P17861	XBP1
P47992	XCL1
Q9UBD3	XCL2
P46094	XCR1
P47989	XDH
P55808	XG
P98170	XIAP
Q702N8	XIRP1
A4UGR9	XIRP2
Q6PP77	XKRX
Q5GH77	XKR3
Q5GH76	XKR4
Q6UX68	XKR5
Q5GH73	XKR6
Q5GH70	XKR9
Q5GH72	XKR7
A2RUG3	XKRY2
O14609	XKRY
P51811	XK
O15537	RS1
Q5T750	XP32
P23025	XPA
Q01831	XPC
Q92889	ERCC4
P55060	CSE1L
Q96QU8	XPO6
Q9UIA9	XPO7
O43895	XPNPEP2
Q9NQH7	XPNPEP3
Q9UBH6	XPR1
O43543	XRCC2
O43542	XRCC3
P18887	XRCC1
Q13426	XRCC4
P13010	XRCC5
Q8IZH2	XRN1
Q9H0D6	XRN2
O75695	RP2
Q6P2D8	XRRA1
Q8NBI6	XXYLT1
O75063	FAM20B
Q86Y38	XYLT1
Q9H1B5	XYLT2
P20160	AZU1
Q9H4Z3	PCIF1
P40121	CAPG
O75052	NOS1AP
Q14444	CAPRIN1
Q6IMN6	CAPRIN2
Q9ULU8	CADPS
Q86UW7	CADPS2
P47756	CAPZB
Q9BWT7	CARD10
Q9BXL6	CARD14
Q9BXL7	CARD11
Q5XLA6	CARD17P
Q5EG05	CARD16
Q96LW7	CARD19
Q9BX69	CARD6
Q9H257	CARD9
Q9NXV6	CDKN2AIP
Q5VZK9	CARMIL1
Q6F5E8	CARMIL2
Q8ND23	CARMIL3
Q86X55	CARM1
Q8N4J0	CARNMT1
Q16568	CARTPT
Q8N187	CARF
P05814	CSN2
Q6TDU7	DNAI7
Q8IU53	CASC2
O15234	CASC3
Q96PB1	CASD1
P07498	CSN3
Q14511	NEDD9
P29466	CASP1
Q6XCG6	PP632
Q8N9X3	LINC01356
Q0P140	HSD52
P42575	CASP2
P42574	CASP3
P49662	CASP4
P51878	CASP5
P55212	CASP6
P55210	CASP7
Q14790	CASP8
P55211	CASP9
Q6UXS9	CASP12
Q92851	CASP10
P31944	CASP14
Q13948	CUX1
P31415	CASQ1
O14958	CASQ2
P41180	CASR
Q9NQ75	CASS4
Q8WTX7	CASTOR1
Q8NAP1	CASTOR3P
A6NHX0	CASTOR2
Q86V15	CASZ1
Q86UT8	CENATAC
P04040	CAT
P07858	CTSB
P53634	CTSC
P07339	CTSD
P14091	CTSE
P08311	CTSG
Q9UBX1	CTSF
Q7Z7H3	CATIP
P43235	CTSK
P07711	CTSL
O60911	CTSV
Q5NE16	CTSL3P
P43234	CTSO
Q13166	CATR1
P25774	CTSS
Q9NRH1	YAE1
Q8IY57	YAF2
P46937	YAP1
Q6UY13	UNQ5830/PRO19650/PRO19816
P67809	YBX1
Q9Y2T7	YBX2
P16989	YBX3
A6NC05	C5orf63
A8MPS7	YDJC
Q9UI72	PRO0255
A6NLC8	TAF11L2
P56202	CTSW
Q9UBR2	CTSZ
Q03135	CAV1
P51636	CAV2
P56539	CAV3
Q6NZI2	CAVIN1
O95810	CAVIN2
Q5BKX8	CAVIN4
Q969G5	CAVIN3
Q13938	CAPS
Q9BXY5	CAPS2
P52907	CAPZA1
P47755	CAPZA2
Q96KX2	CAPZA3
Q8WU43	C2orf15
Q9NWW7	C2orf42
Q6ZSB3	LINC00299
Q8N535	LINC00471
Q96LR7	C2orf50
Q6UXQ4	C2orf66
Q2NKX9	C2orf68
Q96LS8	C2orf48
Q8N8R5	C2orf69
Q68DN1	C2orf16
A6NCS6	C2orf72
A8MZ97	C2orf74
Q8N5S3	C2orf73
Q0P641	C2orf80
A6NCI8	C2orf78
Q53S99	C2orf83
Q6ZV80	LINC02898
A0A1B0GVN3	C2orf92
A6NN90	C2orf81
P0DPF5	C2orf27A
P0DPF6	CDRT15P3
Q9H9S4	CAB39L
Q6ZTR7	CIBAR2
Q8N350	CBARP
Q8IVU9	CABCOCO1
P08185	SERPINA6
P07947	YES1
O95619	YEATS4
Q9ULM3	YEATS2
Q6UWF5	UNQ5815/PRO19632
Q9UHT4	PRO1854
Q9BZS9	PNAS-138
Q71RG6	FP248
Q9H379	PRO3102
Q6UXR6	UNQ6494/PRO21346
O95070	YIF1A
Q5BJH7	YIF1B
Q9Y548	YIPF1
Q9BWQ6	YIPF2
Q9GZM5	YIPF3
Q9BSR8	YIPF4
Q969M3	YIPF5
Q96EC8	YIPF6
Q8N8F6	YIPF7
Q9H354	PRO1933
A6XGL0	YJEFN3
Q9BW85	YJU2
Q9UHU1	PRO1716
Q13191	CBLB
Q9ULV8	CBLC
Q8N7E2	CBLL2
P23435	CBLN1
Q8IUK8	CBLN2
Q6UW01	CBLN3
Q9NTU7	CBLN4
P22681	CBL
O15498	YKT6
Q6ZV60	LINC00173
Q9UM01	SLC7A7
Q92536	SLC7A6
P49750	YLPM1
Q96TA2	YME1L1
Q9P1C3	PRO2829
Q6UXP9	UNQ9370/PRO34162
Q6UXQ8	UNQ6190/PRO20217
Q9UI25	PRO0461
Q9P1D8	PRO2289
O60688	YPEL1
Q96QA6	YPEL2
P61236	YPEL3
Q96NS1	YPEL4
P62699	YPEL5
P48052	CPA2
P15088	CPA3
Q9UI42	CPA4
Q8WXQ8	CPA5
Q8N4T0	CPA6
P15086	CPB1
Q96IY4	CPB2
Q9UPW5	AGTPBP1
Q5U5Z8	AGBL2
Q8NEM8	AGBL3
Q96MI9	AGBL1
Q8NDL9	AGBL5
Q5VU57	AGBL4
O75976	CPD
P16870	CPE
P14384	CPM
P15169	CPN1
Q8IVL8	CPO
Q9Y646	CPQ
Q66K79	CPZ
Q92793	CREBBP
P35520	CBS
Q9BRT8	ZNG1A
P83916	CBX1
