,uniprot,gene_name,idr_content_fraction,motif
63,Q6P9G9,ZNF449,0.405,MA1656.1
64,Q8N9F8,ZNF454,0.276,MA1712.1
65,Q14592,ZNF460,0.425,MA1596.1
66,Q3MIS6,ZNF528,0.261,MA1597.1
67,Q6P9A1,ZNF530,0.304,MA1981.1
68,Q6P9A3,ZNF549,0.364,MA1728.1
69,Q6ZN55,ZNF574,0.47,MA1982.1
70,Q96NG8,ZNF582,0.397,MA1983.1
71,Q8N9Z0,ZNF610,0.288,MA1713.1
72,Q9Y2D9,ZNF652,0.606,MA1657.1
73,Q5HYK9,ZNF667,0.231,MA1984.1
74,Q96BR6,ZNF669,0.403,MA1985.1
75,Q8TD23,ZNF675,0.222,MA1714.1
76,Q8NEM1,ZNF680,0.24,MA1729.1
77,O95780,ZNF682,0.267,MA1599.1
78,Q5T5D7,ZNF684,0.204,MA1600.1
79,Q9BU19,ZNF692,0.649,MA1986.1
80,Q9NV72,ZNF701,0.501,MA1987.1
81,Q96C28,ZNF707,0.302,MA1715.1
82,P17019,ZNF708,0.149,MA1730.1
83,Q8NDX6,ZNF740,0.549,MA0753.2
84,P51815,ZNF75D,0.49,MA1601.2
85,Q9H5H4,ZNF768,0.487,MA1731.1
86,Q8NCA9,ZNF784,0.523,MA1717.1
87,Q0VGE8,ZNF816,0.312,MA1719.1
88,P17020,ZNF16,0.315,MA1654.1
89,P17028,ZNF24,0.443,MA1124.1
90,P36508,ZNF76,0.546,MA1716.1
91,Q03923,ZNF85,0.197,MA1720.1
92,P17098,ZNF8,0.534,MA1718.1
93,P35789,ZNF93,0.176,MA1721.1
94,Q96LW9,ZSCAN31,0.382,MA1722.1
95,Q8IWY8,ZSCAN29,0.494,MA1602.1
96,Q8NAM6,ZSCAN4,0.545,MA1155.1
97,P47902,CDX1,0.766,MA0878.3
98,Q99626,CDX2,0.78,MA0465.2
99,O14627,CDX4,0.81,MA1473.1
100,P49715,CEBPA,0.824,MA0102.4
101,P17676,CEBPB,0.814,MA0466.3
102,P49716,CEBPD,0.948,MA0836.2
103,Q15744,CEBPE,0.712,MA0837.2
104,P53567,CEBPG,0.953,MA1636.1
105,Q9BYF1,ACE2,0.027,MA0267.1
106,O15516,CLOCK,0.55,MA0819.2
107,O94983,CAMTA2,0.533,MA0969.1
108,Q9Y6Y1,CAMTA1,0.683,MA1197.1
109,Q9UH73,EBF1,0.374,MA0154.4
110,Q9H4W6,EBF3,0.421,MA1637.1
111,P10589,NR2F1,0.265,MA1538.1
112,P24468,NR2F2,0.254,MA1111.1
113,Q96BA8,CREB3L1,0.838,MA0839.1
114,Q8TEY5,CREB3L4,0.78,MA1475.1
115,P16220,CREB1,0.502,MA0018.4
116,O43889,CREB3,0.739,MA0638.1
117,Q03060,CREM,0.87,MA0609.2
118,Q8NI51,CTCFL,0.546,MA1102.2
119,P49711,CTCF,0.034,MA1930.1
120,P39880,CUX1,0.599,MA0754.2
121,O14529,CUX2,0.632,MA0755.1
122,Q15828,CST6,0.235,MA0286.1
123,Q10586,DBP,0.754,MA0639.1
124,P56177,DLX1,0.808,MA0879.2
125,P56179,DLX6,0.703,MA0882.1
126,Q9NQL9,DMRT3,0.822,MA0610.1
127,Q5VZB9,DMRTA1,0.841,MA1707.1
128,Q8IXT2,DMRTC2,0.875,MA1479.1
129,Q96SC8,DMRTA2,0.827,MA1478.1
130,A6NFQ7,DPRX,0.654,MA1480.1
131,A6NNA5,DRGX,0.814,MA1949.1
132,A6NLW8,DUXA,0.5,MA0884.2
133,Q9UBX2,DUX4,0.691,MA0468.1
134,Q01094,E2F1,0.533,MA0024.3
135,Q14209,E2F2,0.696,MA0864.2
136,O00716,E2F3,0.639,MA0469.3
137,Q16254,E2F4,0.562,MA0470.2
138,O75461,E2F6,0.516,MA0471.2
139,Q96AV8,E2F7,0.789,MA0758.1
140,A0AVK6,E2F8,0.722,MA0865.2
141,P18146,EGR1,0.842,MA0162.4
142,P11161,EGR2,0.857,MA0472.2
143,Q06889,EGR3,0.835,MA0732.1
144,Q05215,EGR4,0.837,MA0733.1
145,Q9NZC4,EHF,0.423,MA0598.3
146,P32519,ELF1,0.847,MA1953.1
147,Q15723,ELF2,0.69,MA1483.2
148,P78545,ELF3,0.41,MA0640.2
149,Q99607,ELF4,0.861,MA0641.1
150,P19419,ELK1,0.484,MA1958.1
151,P41970,ELK3,0.759,MA1955.1
152,P28324,ELK4,0.643,MA0076.2
153,Q04743,EMX2,0.813,MA0886.1
154,O95936,EOMES,0.726,MA0800.1
155,P50548,ERF,0.739,MA1939.1
156,P11474,ESRRA,0.274,MA0592.3
157,O95718,ESRRB,0.254,MA0141.3
158,P03372,ESR1,0.04,MA0112.3
159,Q92731,ESR2,0.166,MA0258.2
160,Q8N693,ESX1,0.874,MA0644.2
161,P14921,ETS1,0.408,MA0098.3
162,P15036,ETS2,0.507,MA1484.1
163,P50549,ETV1,0.797,MA1966.1
164,O00321,ETV2,0.74,MA1943.1
165,P41162,ETV3,0.803,MA0763.1
166,P43268,ETV4,0.727,MA0764.3
167,P41161,ETV5,0.804,MA1948.1
168,P41212,ETV6,0.491,MA0645.1
169,Q9Y603,ETV7,0.434,MA1708.1
170,P49640,EVX1,0.85,MA1960.1
171,Q03828,EVX2,0.887,MA0888.1
172,Q8WVX9,FAR1,0.027,MA1382.1
173,Q96RJ6,FERD3L,0.506,MA1485.1
174,Q99581,FEV,0.555,MA0156.3
175,Q13642,FHL1,0.297,MA0295.1
176,Q6QHK4,FIGLA,0.685,MA1945.1
177,Q01543,FLI1,0.456,MA1967.1
178,P53539,FOSB,0.87,MA1136.1
179,P15407,FOSL1,0.911,MA1143.1
180,P15408,FOSL2,0.911,MA1145.1
181,P01100,FOS,0.426,MA1951.1
182,P55317,FOXA1,0.801,MA0148.4
183,Q9Y261,FOXA2,0.775,MA0047.3
184,P55318,FOXA3,0.711,MA1683.1
185,Q99853,FOXB1,0.705,MA0845.1
186,Q12948,FOXC1,0.823,MA0032.2
187,Q99958,FOXC2,0.806,MA0846.1
188,Q16676,FOXD1,0.772,MA0031.1
189,O60548,FOXD2,0.806,MA0847.3
190,Q9UJU5,FOXD3,0.764,MA0041.2
191,O00358,FOXE1,0.684,MA1487.2
192,Q12947,FOXF2,0.802,MA0030.1
193,P55316,FOXG1,0.798,MA0613.1
194,O75593,FOXH1,0.603,MA0479.1
195,Q12951,FOXI1,0.762,MA1950.1
196,Q9P0K8,FOXJ2,0.765,MA1952.1
197,P85037,FOXK1,0.739,MA0852.2
198,Q01167,FOXK2,0.705,MA1103.2
199,Q12952,FOXL1,0.739,MA0033.2
200,O00409,FOXN3,0.798,MA1489.1
201,Q12778,FOXO1,0.817,MA1956.1
202,P98177,FOXO4,0.743,MA0848.1
203,A8MYZ6,FOXO6,0.839,MA0849.1
204,Q9H334,FOXP1,0.708,MA0481.3
205,O15409,FOXP2,0.717,MA0593.1
206,Q9BZS1,FOXP3,0.631,MA0850.1
207,Q06546,GABPA,0.344,MA0062.3
208,P15976,GATA1,0.748,MA0140.2
209,P23769,GATA2,0.8,MA0036.3
210,P43694,GATA4,0.76,MA1755.1
211,Q9BWX5,GATA5,0.768,MA0766.2
212,Q92908,GATA6,0.855,MA1396.1
213,Q14549,GBX1,0.807,MA0889.1
214,P52951,GBX2,0.865,MA0890.1
215,Q9NP62,GCM1,0.638,MA0646.1
216,O75603,GCM2,0.725,MA0767.1
217,P04150,NR3C1,0.003,MA0113.3
218,Q99684,GFI1,0.592,MA0038.2
219,P10071,GLI3,0.813,MA1491.2
220,Q8NBF1,GLIS1,0.752,MA0735.1
221,Q9BZE0,GLIS2,0.693,MA0736.1
222,Q8NEA6,GLIS3,0.812,MA0737.1
223,Q9UKD1,GMEB2,0.64,MA0862.1
224,O95076,ALX3,0.843,MA0634.1
225,Q9NZI5,GRHL1,0.424,MA0647.1
226,Q6ISB3,GRHL2,0.37,MA1105.2
227,O15499,GSC2,0.746,MA0891.1
228,P56915,GSC,0.751,MA0648.1
229,Q9H4S2,GSX1,0.837,MA0892.1
230,Q9BZM3,GSX2,0.852,MA0893.2
231,P61296,HAND2,0.82,MA1638.1
232,P54257,HAP1,0.715,MA0312.2
233,O14929,HAT1,0.045,MA1024.1
234,Q02575,NHLH1,0.632,MA1938.1
235,Q02577,NHLH2,0.63,MA1529.1
236,Q14469,HES1,0.1,MA1099.2
237,Q9Y543,HES2,0.451,MA0616.2
238,Q5TA89,HES5,0.452,MA0821.2
239,Q96HZ4,HES6,0.536,MA1493.1
240,Q9BYE0,HES7,0.591,MA0822.1
241,Q9UBX0,HESX1,0.638,MA0894.1
242,Q9Y5J3,HEY1,0.625,MA0823.1
243,Q9UBP5,HEY2,0.653,MA0649.1
244,Q03014,HHEX,0.789,MA0183.1
245,Q96JB3,HIC2,0.613,MA0738.1
246,Q16665,HIF1A,0.161,MA1106.1
247,Q9BQA5,HINFP,0.269,MA0131.2
248,Q16534,HLF,0.732,MA0043.3
249,Q6NT76,HMBOX1,0.512,MA0895.1
250,Q05925,EN1,0.814,MA0027.2
251,P19622,EN2,0.661,MA0642.2
252,P20823,HNF1A,0.642,MA0046.2
253,P35680,HNF1B,0.573,MA0153.2
254,P41235,HNF4A,0.295,MA1494.1
255,Q14541,HNF4G,0.069,MA0484.2
256,Q9UBC0,ONECUT1,0.733,MA0679.2
257,Q00613,HSF1,0.13,MA0486.2
258,Q03933,HSF2,0.694,MA0770.1
259,Q9ULV5,HSF4,0.711,MA0771.1
260,P05549,TFAP2A,0.535,MA0872.1
261,Q92481,TFAP2B,0.546,MA0813.1
262,Q92754,TFAP2C,0.531,MA0815.1
263,Q6VUC0,TFAP2E,0.536,MA1569.1
264,A1PQX5,TP73,0.55,MA0861.1
265,A0A024R6D7,JDP2,0.767,MA0656.1
266,E5KQF6,NR3C1,0.058,MA0113.3
267,A0A024RCW6,PPARD,0.161,MA1550.1
268,A0A024R1Q0,SREBF2,0.415,MA1939.1
269,A0A024R126,NR4A1,0.485,MA1112.2
270,Q708E9,MYB,0.052,MA0100.3
271,F1D8S3,NR1D1,0.49,MA1531.1
272,A0A024R9L7,MYC,0.21,MA0147.3
273,Q96GL3,IRF3,0.073,MA1418.1
274,A0A0S2Z454,MEF2A,0.393,MA0052.4
275,A0A024R974,ELF3,0.447,MA0640.2
276,A0A024R691,ZNF410,0.659,MA0752.1
277,Q6FH41,THRA,0.11,MA1969.1
278,A1PLF1,NHLH2,0.63,MA1529.1
279,F1D8R0,NR2F2,0.242,MA1111.1
280,A1MJ41,PBX1,0.386,MA0070.1
281,A0A0S2Z3K8,E2F6,0.587,MA0471.2
282,D0VY79,HIF1A,0.144,MA1106.1
283,B7WNQ9,GATA1,0.06,MA0140.2
284,A8K3H3,RARG,0.348,MA1553.1
285,A0A024R1N6,SOX10,0.845,MA0442.2
286,R9QE44,STAT2,0.016,MA0517.1
287,R9QG79,STAT2,0.016,MA0517.1
288,A8K3E0,NFE2,0.646,MA0841.1
289,Q5STP9,RXRB,0.37,MA1555.1
290,Q6FG41,FOS,0.053,MA1951.1
291,Q1MSX0,TP53,0.079,MA0106.3
292,A0A024RA92,GLI3,0.262,MA1491.2
293,B0ZBF6,NR3C2,0.364,MA0727.1
294,B6ZGS9,NR1H4,0.042,MA1146.1
295,A0A024R4J5,ZNF331,0.19,MA1726.1
296,Q6I9R9,RORC,0.193,MA1151.1
297,R9QE71,STAT2,0.016,MA0517.1
298,A0A024R4R8,ZNF324,0.461,MA1977.1
299,B0ZTD4,FOXA2,0.778,MA0047.3
300,R9QE53,STAT2,0.016,MA0517.1
301,Q6FHW4,TCF7L2,0.257,MA0523.1
302,A0A024R5T1,TCF12,0.6,MA1648.1
303,F1D8P7,NR1H2,0.221,MA0115.1
304,F1D8N6,NR4A2,0.487,MA1147.1
305,H9NIM2,NR2C1,0.451,MA1535.1
306,A0A024R2H1,SATB1,0.473,MA1963.1
307,A0A024R3Q0,ARF1,0.066,MA0942.1
308,A0A024R385,SHOX,0.832,MA0630.1
309,A0A024R5Z3,SMAD3,0.026,MA0795.1
310,A0A024R4I5,SPIB,0.634,MA0081.2
311,A0A024RDY4,TFDP1,0.444,MA1122.1
312,A0A024R2I8,THRB,0.249,MA1576.1
313,A0A024QZ86,TBX2,0.742,MA0688.1
314,A1LQR0,HESX1,0.676,MA0894.1
315,A0A024R0W2,MEIS3,0.616,MA0775.1
316,E2GH26,TCF7L2,0.27,MA0523.1
317,A0A0C4DFP5,RORA,0.049,MA0072.1
318,B1AQP1,USF1,0.184,MA0093.3
319,A0A024R985,ELK4,0.684,MA0076.2
320,Q53X93,CREB1,0.101,MA0018.4
321,F1T0D1,OTX2,0.838,MA0712.2
322,Q548T7,FOXP1,0.699,MA0481.3
323,A0A024R4P7,ZNF582,0.368,MA1983.1
324,A0A0S2Z570,RXRB,0.367,MA1555.1
325,A0A024R120,TFCP2,0.321,MA1968.1
326,A0A024RBQ4,TBX3,0.751,MA1566.2
327,F1D8S0,NR6A1,0.338,MA1541.1
328,A0A024RBE2,ELK3,0.762,MA1955.1
329,C3U3A0,DUX4,0.762,MA0468.1
330,Q6I9R7,RARA,0.134,MA1149.1
331,Q58EY0,RORB,0.246,MA1150.1
332,E5KQF5,NR3C1,0.061,MA0113.3
333,A0A0S2Z453,MEF2A,0.387,MA0052.4
334,D2IYK3,POU5F1,0.586,MA1115.1
335,A0A024RCY3,TFEB,0.815,MA0692.1
336,F1T0H4,ATOH7,0.605,MA1468.1
337,K7PPA8,TP53,0.137,MA0106.3
338,X5D2H2,FOXP2,0.258,MA0593.1
339,A0A0S2Z4N0,MEF2A,0.893,MA0052.4
340,B7Z5N5,SMAD2,0.104,MA1964.1
341,E0XEN6,FOXI1,0.762,MA1950.1
342,A0A024RCU3,ZNF76,0.512,MA1716.1
343,A0A6E1XE14,TFAP2A,0.526,MA0872.1
344,A0A024QZ23,TFE3,0.845,MA0831.3
345,F1T0F8,PAX6,0.544,MA0069.1
346,R9QDY3,STAT2,0.016,MA0517.1
347,A8IE48,GABPA,0.37,MA0062.3
348,B5B2S0,NFATC3,0.256,MA0625.2
349,F1DAM0,NR5A1,0.093,MA1540.2
350,A4D0Y8,LEP,0.108,MA1246.1
351,A0A024R7Z0,PLAG1,0.62,MA0163.1
352,A4D0Z3,ARF5,0.061,MA0943.1
353,F1DAL1,NR1H4,0.336,MA1146.1
354,Q569H8,ESRRA,0.158,MA0592.3
355,B5B2S1,NFATC3,0.731,MA0625.2
356,Q53XI4,HOXC10,0.851,MA0905.1
357,D3DV25,RORC,0.228,MA1151.1
358,A0A0U3FYV6,SOX2,0.754,MA1962.1
359,A0A0S2Z4N5,TP63,0.625,MA0525.2
360,A0A024RBG7,NFYB,0.614,MA0502.2
361,Q7RTW3,NRG1,0.345,MA0347.2
362,A7WPU8,SRY,0.681,MA0084.1
363,Q7LCB3,ESR2,0.166,MA0258.2
364,C6ZRK5,TCF7L2,0.278,MA0523.1
365,A8MYV6,HIF1A,0.037,MA1106.1
366,A0A024RAL7,MEF2C,0.886,MA0497.1
367,Q1MSW8,TP53,0.111,MA0106.3
368,Q7RTV8,NRG1,0.345,MA0347.2
369,Q96IB3,NRG1,0.132,MA0347.2
370,Q7RTW4,NRG1,0.344,MA0347.2
371,A0A2R8YGX0,GLI3,0.237,MA1491.2
372,A0A6Q8PH19,REST,0.481,MA0138.2
373,A0A0S2Z383,NKX2-5,0.846,MA0063.2
374,A0A0P0GE07,POU2F1,0.121,MA1962.1
375,A0A1C7CYV8,POU6F1,0.774,MA1549.1
376,Q2XSC7,TP53,0.069,MA0106.3
377,R9QF97,STAT2,0.016,MA0517.1
378,A0A386NC55,TP53,0.076,MA0106.3
379,R9QG91,STAT2,0.016,MA0517.1
380,H0YE88,TEAD1,0.073,MA0090.3
381,A0A0D9SGH8,TCF7L2,0.281,MA0523.1
382,R9QG88,STAT2,0.016,MA0517.1
383,A0A024R0L4,ERF,0.805,MA1939.1
384,A0A087WUS5,MYC,0.203,MA0147.3
385,A0A024R241,NFIL3,0.84,MA0025.2
386,A0A386NC20,TP53,0.074,MA0106.3
387,A0A494C1F5,NRG1,0.274,MA0347.2
388,A0A024R1A7,ELK1,0.488,MA1958.1
389,F1D8N4,NR3C1,0.305,MA0113.3
390,B6ZGU6,NR3C1,0.059,MA0113.3
391,A0A386NCW8,TP53,0.074,MA0106.3
392,A0A024R0R3,FOXA3,0.734,MA1683.1
393,A0A494C1T8,MYC,0.271,MA0147.3
394,A0A024R7K5,MEF2B,0.853,MA0660.1
395,A0A2R3XWF7,HNF4A,0.214,MA1494.1
396,A0A024R3X8,KLF7,0.52,MA1959.1
397,H0Y3W9,EBF3,0.461,MA1637.1
398,H3BRS1,NFATC3,0.328,MA0625.2
399,H7C3F2,SWI5,0.746,MA0402.1
400,X6REB3,TCF3,0.493,MA0522.3
401,A0A386NCU2,TP53,0.074,MA0106.3
402,A0A2R3XWC8,HNF4A,0.242,MA1494.1
403,R9QFA2,STAT2,0.016,MA0517.1
404,A0A0D9SEX9,GLIS1,0.808,MA0735.1
405,R9QDZ0,STAT2,0.016,MA0517.1
406,A0A0C4DG53,RORA,0.058,MA0072.1
407,H2EHT1,TP53,0.24,MA0106.3
408,A0A386NC62,TP53,0.074,MA0106.3
409,A0A5B9RIM3,NR3C1,0.058,MA0113.3
410,A0A6E1WCP9,ESRRA,0.277,MA0592.3
411,F1D8P2,NR1D2,0.47,MA1532.2
412,I3L3K7,NFATC3,0.261,MA0625.2
413,A0A024R7B1,ZNF317,0.323,MA1593.1
414,E0YMI7,HNF1A,0.275,MA0046.2
415,M0R1P0,ZNF530,0.357,MA1981.1
416,A0A386NC22,TP53,0.074,MA0106.3
417,B5BU30,TCF7L2,0.258,MA0523.1
418,A0A0S2Z3C9,ETV6,0.56,MA0645.1
419,A0A0C4DG96,EGR4,0.827,MA0733.1
420,Q6IBU6,NR1H2,0.221,MA0115.1
421,A0A024RD16,SRF,0.844,MA0083.3
422,A0A6E1WB48,HNF4G,0.165,MA0484.2
423,M0QZB7,IRF3,0.081,MA1418.1
424,B5B2S2,NFATC3,0.261,MA0625.2
425,U5LXR9,TCF3,0.517,MA0522.3
426,B7ZLK5,FOXP2,0.266,MA0593.1
427,M0R2F9,NR1H2,0.243,MA0115.1
428,A0A2R8Y4R9,HOXA1,0.866,MA1931.1
429,A0A0U1RQC9,TP53,0.241,MA0106.3
430,A0A0S2Z595,FOSL1,0.893,MA1143.1
431,A0A386NFY2,TP53,0.071,MA0106.3
432,A0A386NCA6,TP53,0.074,MA0106.3
433,A0A494C0P1,NR3C1,0.09,MA0113.3
434,Q6P3U7,RXRA,0.091,MA1148.1
435,H0YBA3,NRG1,0.206,MA0347.2
436,A0A024R0P6,FOSB,0.959,MA1136.1
437,K7PPU4,TP53,0.087,MA0106.3
438,A0A386NCX4,TP53,0.066,MA0106.3
439,A0A386NDA8,TP53,0.074,MA0106.3
440,A0A2Z5HTM8,TCF7L2,0.308,MA0523.1
441,R9QF58,STAT2,0.016,MA0517.1
442,A0A087WXV5,PAX1,0.761,MA0779.1
443,A0A0A0MTK8,HNF1A,0.249,MA0046.2
444,H0YLX2,RFX7,0.284,MA1554.1
445,Q3ZCT4,CLOCK,0.216,MA0819.2
446,H0YBT0,MYC,0.203,MA0147.3
447,A0A223ZRY6,VDR,0.061,MA0074.1
448,J3KP33,TP53,0.108,MA0106.3
449,A0A494C1F8,NRG1,0.242,MA0347.2
450,H6V745,NR3C1,0.06,MA0113.3
451,A0A024R0Y6,ARF3,0.066,MA1009.1
452,R9QE63,STAT2,0.016,MA0517.1
453,A0A024RDU6,ELF1,0.847,MA1953.1
454,A0A024R3M5,FLI1,0.622,MA1967.1
455,H3BR83,NFATC3,0.274,MA0625.2
456,A0A494C0Q4,NRG1,0.264,MA0347.2
457,A0A386NDB3,TP53,0.066,MA0106.3
458,F1D8R3,NR2F6,0.265,MA1539.1
459,G0Z349,IRF6,0.34,MA1509.1
460,A0A2R8Y491,ESRRB,0.297,MA0141.3
461,A0A024R3T7,MIXL1,0.746,MA0662.1
462,C9JAU6,IRF5,0.377,MA1420.1
463,A0A024R997,ELK4,0.158,MA0076.2
464,A0A6E1XZL4,POU6F2,0.794,MA0793.1
465,R9QDW5,STAT2,0.016,MA0517.1
466,E7EWD9,ESRRB,0.048,MA0141.3
467,A0A0S2Z4N6,TP63,0.185,MA0525.2
468,A0A1W2PQA1,REST,0.451,MA0138.2
469,A0A0S2Z4M5,RXRB,0.394,MA1555.1
470,E2GIM5,IRF3,0.148,MA1418.1
471,Q6FG56,ELK1,0.36,MA1958.1
472,A0A024R8Y2,POU2F1,0.121,MA1962.1
473,A0A024RAZ6,HOXC9,0.788,MA0485.2
474,A0A090N8Y3,ZNF282,0.727,MA1154.1
475,A0A0S2Z493,NEUROD1,0.742,MA1109.1
476,A0A5K1VW50,VDR,0.123,MA0074.1
477,R9QFC5,STAT2,0.016,MA0517.1
478,E2GH23,TCF7L2,0.257,MA0523.1
479,A0A3B3IS18,TBX1,0.597,MA0805.1
480,A0A087WXG3,BHLHE23,0.776,MA0817.1
481,A0A024R5Z0,TCF12,0.892,MA1648.1
482,M0QZB8,IRF3,0.1,MA1418.1
483,F1T0K5,VAX2,0.752,MA0723.2
484,A0A494C1B5,NRG1,0.238,MA0347.2
485,Q8TAX8,MAX,0.212,MA0059.1
486,D6RBI3,RARB,0.08,MA1552.1
487,J3KP65,TBXT,0.532,MA0009.2
488,A0A0U1RQM2,FOXP2,0.265,MA0593.1
489,B7ZKX1,RFX7,0.281,MA1554.1
490,B6ZGU8,NR5A1,0.085,MA1540.2
491,D6RFI4,PITX2,0.224,MA1547.2
492,A0A0S2Z4U5,USF1,0.7,MA0093.3
493,A0A024R804,MAFK,0.462,MA0496.3
494,R9QDW3,STAT2,0.016,MA0517.1
495,Q99081,TCF12,0.871,MA1648.1
496,Q6ICP0,ATF4,0.239,MA0833.2
497,A0A386NCB1,TP53,0.069,MA0106.3
498,A0A0A0MR47,ZNF274,0.178,MA1592.1
499,A0A024R3N6,FLI1,0.248,MA1967.1
500,E5RMA8,TP53,0.089,MA0106.3
501,Q8IXV0,HES1,0.144,MA1099.2
502,G4XH65,ESR1,0.057,MA0112.3
503,A0A024RAX0,MGP,0.379,MA1158.1
504,F5H0K0,HNF1A,0.259,MA0046.2
505,H7BY00,TWIST1,0.311,MA1123.2
506,A0A7I2V4X9,GLI3,0.237,MA1491.2
507,F1T0H3,NEUROG1,0.743,MA0623.2
508,A4D0T4,FOXP2,0.258,MA0593.1
509,A0A223PZB5,KLF1,0.312,MA0493.2
510,A0A2R3XWA6,HNF4A,0.252,MA1494.1
511,B6ZGS7,NR1H2,0.221,MA0115.1
512,A0A494C0L9,NRG1,0.17,MA0347.2
513,F8W689,RFX5,0.5,MA0510.2
514,F1D8R8,NR5A1,0.286,MA1540.2
515,M0R1U5,MZF1,0.448,MA0056.2
516,A0A386NG45,TP53,0.074,MA0106.3
517,A0A024R260,KLF9,0.611,MA1107.2
518,A0A0A0MQU7,HNF1A,0.694,MA0046.2
519,J3JS71,RXRB,0.274,MA1555.1
520,E9PLN0,MYB,0.054,MA0100.3
521,A0A386NFX3,TP53,0.074,MA0106.3
522,A0A1P8C958,NFKB2,0.053,MA0778.1
523,M0R0K3,NR1H2,0.235,MA0115.1
524,A0A1W2PPX4,PAX4,0.519,MA0068.2
525,A0A2R8Y739,POU3F4,0.634,MA0789.1
526,A0A0A0MRB7,TCF3,0.515,MA0522.3
527,A0A3G5ECL4,KLF1,0.693,MA0493.2
528,B9EK51,NRG1,0.308,MA0347.2
529,K7VKE0,KLF1,0.255,MA0493.2
530,Q6ICV5,NRG1,0.135,MA0347.2
531,B4DJD4,ATF4,0.3,MA0833.2
532,A0A024QZE1,IRF3,0.077,MA1418.1
533,A0A386NC25,TP53,0.075,MA0106.3
534,P31260,HOXA10,0.866,MA0899.1
535,P49639,HOXA1,0.869,MA1931.1
536,O43364,HOXA2,0.883,MA1948.1
537,Q00056,HOXA4,0.841,MA1496.1
538,P20719,HOXA5,0.8,MA0158.2
539,P31267,HOXA6,0.777,MA1497.1
540,P31268,HOXA7,0.774,MA1498.2
541,P31269,HOXA9,0.805,MA0594.2
542,Q92826,HOXB13,0.785,MA1943.1
543,P14652,HOXB2,0.879,MA1957.1
544,P14651,HOXB3,0.891,MA0903.1
545,P17483,HOXB4,0.797,MA1499.1
546,P09067,HOXB5,0.799,MA0904.2
547,P17509,HOXB6,0.746,MA1500.1
548,P09629,HOXB7,0.76,MA1501.1
